;;"gen";"rep_n_aut";"autore";"post";"ante";"origine";"identificazione"
"";"Scheda";"0";"BEdT 108";"Carenza";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 211";"Guillem de Biars";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"0";"BEdT 198";"Guillalmet";" ";" ";"non precisabile";"Non identificabile, probabilmente un giullare. Promotore di una breve tenzone (due coblas e due tornadas) nella quale schernisce un Prior , anch'egli non meglio identificato, a motivo delle ristrettezza economiche in cui si trova il santo affidato alle sue cure."
"";"Scheda";"0";"BEdT 172";"Gausbert Amiel";" ";"1254 (è presente nel canz. °D)";"Guascogna, Comminges, Agenais";"Il vers 172,001 compare in °D come parte di un gruppo di quattro componimenti inseriti tra le sezioni di Peirol e di Aimeric de Peguillan dei quali gli altri tre sono certamente duecenteschi e probabilmente tutti connessi con la regione del Rodano (Tarascona, in particolare)."
"";"Scheda";"0";"BEdT 167a";"Gauceran";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"0";"BEdT 012";"Alaisina Yselda";" ";" ";"non precisabile";"Trobairitz non identificabile, che sottopone a Na Carenza, anch'essa dall'identità sfuggente, la questione dell'opportunità o meno di maritarsi."
"";"Scheda";"0";"BEdT 159";"Fraire menor";" ";" ";"non precisabile";"Autore di un'unico testo, una preghiera in versi. L'attività dell'autore va ricondotta genericamente al sec. 13, data la derivazione formale da BEdT 461,148 (gli altri contrafacta trobadorici sono scaglionati tra i primi decenni del secolo e il 1260 ca.)."
"";"Scheda";"0";"BEdT 157";"Formit de Perpignan";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"0";"BEdT 150a";"Folc";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 145";"Esteve";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 215";"Guillem Evesque, joglar d'Albi";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"0";"BEdT 137";"En Genim d'Urre de Valentines";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Engenim Durre (ma col dubbio: prénom alteré? ) per Jeanroy 1934, p.363, che lo dice forse originario di Eurre, cant. di Crest, arr. di Die. Apparteneva probabilmente alla piccola nobiltà ( valvassor ?: cfr. BEdT 137,001)."
"";"Scheda";"0";"BEdT 171";"Gausbert";" ";" ";"non precisabile";"Promotore di una tenzone con un Peire Bremon, anchìesso non identificabile e non riconoscibile in nessuno dei due omonimi la cui identità ci è invece nota."
"";"Scheda";"0";"BEdT 068";"Bernart Tortitz";" ";" ";"non precisabile";"Trovatore non identificabile."
"";"Scheda";"0";"BEdT 062";"Bernart de la Fon";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 056";"Bernart Arnaut Sabata";" ";" ";"non precisabile";"Autore di una sola canzone attribuitagli da °R e, come alternativa, dalla tav. di °C, mentre °C la dà a Perdigo (è furoviante a questo proposito la scheda di Jeanroy 1934, p.343). L'autore non pare un aristocratico."
"";"Scheda";"0";"BEdT 049";"Berenguier de Poivent";" ";" ";"Linguadoca, Contea di Foix (?)";"Identificato da Jeanroy 1934 p.342 come originario di Poivert [Puivert], cant. de Chalabres, arr. di Limoux, Aude."
"";"Scheda";"0";"BEdT 048";"Berenguier de Poizrengier";" ";" ";"non precisabile";"Identificato da Chabaneau come originario di Puyrenier, cant. de Mareuil, arr. di Nontron, Dordogne, da Schultz-Gora al contrario come di Puisserguier, cant. de Capestang, arr. di Béziers, Hérault (cfr. Jeanroy 1934, p.40). Il nome di Berenguer ricorre effettivamente nell'importante famiglia linguadociana dei signori di Puisserguier (cfr. Cheyette 2001, p.217-9). Guida 2011, pp.171-192 ritiene che il testo sia un gioco a natura satirico-parodica e propone di identificarne l'autore con Berenguier signore di Puysserguier (ampia documentazione sulla famiglia)."
"";"Scheda";"0";"BEdT 035";"Arver";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 031";"Arnaut Peire d'Agange";" ";" ";"Linguadoca, Contea di Foix";" "
"";"Scheda";"0";"BEdT 022a";"Andrian del Palais";" ";" ";"non precisabile";"Autore conosciuto solo attraverso Terramagnino da Pisa che e cita a due riprese dei versi, 8 e 2 rispettivamente, estratti da quella che sembra essere una canzone la seconda citazione contiene un riferimento alla Provenza (Ay domnas e seygnor / de Proens' e d'aillor), ovviamente insufficente di per sé per una localizzazione. Guida 2006c propone di identificarlo con BEdT 315 Palais (o meglio, all'inverso, Palais con Andrian del P.)."
"";"Scheda";"0";"BEdT 015a";"Albert de Saint Bonet";" ";" ";"non precisabile";"Trovatore noto solo come proponente di una tenzone con una donna, testo di cui non resta che l'incipit nella tavola antica del canz. °B: BEdT 015a,001 Bela domna, si.us platz."
"";"Scheda";"0";"BEdT 012b";"Alberjat";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 139";"Enric";" ";" ";"non precisabile";"Attribuzione presente nei canzonieri."
"";"Scheda";"0";"BEdT 407";"Raimon Rigaut";" ";" ";"non precisabile";"Autore di un solo testo, composto in realtà da tre coblas distinte."
"";"Scheda";"0";"BEdT 362";"Peire de Valeira";" ";" ";"Guascogna, Comminges, Agenais (?)";"Appel 1897, p.408 a seguito dell'analisi delle forme metriche dei due testi del trovatore insinua l'ipotesi che egli possa essere in realtà sensibilmente posteriore all'epoca di Marcabru, a differenza di quanto afferma l'autore della vida antica, che lo vuole contemporaneo di quest'ultimo ( joglars fo el temps et en la sazos que fo Marcabrus )."
"";"Scheda";"0";"BEdT 385";"Prior";" ";" ";"non precisabile";"Priore di una fondazione ecclesiastica partecipa a una breve canzone (due coblas e due tornadas) con un non meglio identificato Guilalmet, che lo schernisce per le ristrettezza economiche in cui si trova il santo affidato alle cure del priore."
"";"Scheda";"0";"BEdT 249a";"Domna H";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 350";"Peire de Mont Albert";" ";" ";"non precisabile";"Noto esclusivamente come proponente della tenzone BEdT 350,001. Avendo constatato la mancanza di altre attestazioni del nome nella documentazione antica, Guida 2010 propone di correggere Peire de Mont Albert (nel testo e nella rubrica del ms. unico) in Paire de Mon-Albert e di identificare di conseguenza il trovatore con BEdT 044 Azar, padre di Albertet secondo la vida di quest'ultimo."
"";"Scheda";"0";"BEdT 337";"Peire de Cols, d'Aorlac";" ";" ";"Alvernia, Vélay, Gévaudan, Vivarais";" "
"";"Scheda";"0";"BEdT 328";"Peire de Blai";" ";" ";"non precisabile";"Cfr. 328a Peire de Brau (potrebbe trattarsi di una semplice variante). Autore di una sola canzone artificiosa, animata da un gusto almeno ducentesco e probabilmente da ricondurre alla metà o seconda metà del secolo."
"";"Scheda";"0";"BEdT 395";"Raimon de Rusillon";" ";" ";"Catalogna, Rossiglione";" "
"";"Scheda";"0";"BEdT 363";"Peire del Vern";" ";" ";"Poitou, Saintonge, Périgord";"Autore prob. di Vergt, arr. Périgueux, secondo Jeanroy 1934, p.411."
"";"Scheda";"0";"BEdT 279";"Jutge";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 257";"Izarn Rizol";" ";" ";"non precisabile";"Autore di un'unica canzone d'amore d'impianto tradizionale, trasmessa dal solo canz. °C, priva di elementi utili ad una localizzazione e datazione."
"";"Scheda";"0";"BEdT 255";"Izarn";" ";" ";"non precisabile";"Circa il luogo di attività, non necessariamente di origine, cfr. Asperti 1995, p.51-52 e note. Il testo è certamente duecentesco."
"";"Scheda";"0";"BEdT 256";"Izarn Marques";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 313";"Oste";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 426";"Rofin";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 413a";"Rainaut";" ";" ";"non precisabile";" "
"";"Scheda";"0";"BEdT 269";"Joan de Pennas";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"Autore di un'unica tenzone fittizia, costruita come dibattito tra un uomo e la propria moglie."
"";"Scheda";"0";"BEdT 270";"Jojos de Toloza";" ";" ";"Linguadoca, Contea di Foix";"Nella terza strofa della sua unica composizione, una pastorella, rispondendo ad una domanda della 'bergeira' incontrata, il protagonista dice di essere de Tolza, et ai nom Joyos : non è affatto detto che si tratti di un nome vero e proprio, pare piuttosto un soprannome da giullare. Il testo è indatabile di per sé: se lo si intendesse come il capostipite del gruppo F 233, occorrerebbe datarlo entro il secondo quarto del 13 sec."
"";"Scheda";"0";"BEdT 276";"Jordan de l'Isla de Venessi";" ";" ";"Provenza, Delfinato, Viennese, Valentinese";"cfr. 141a"
"";"Scheda";"0 @";"BEdT 166";"Gaucelm Estaca";" ";" ";"non precisabile";" "
"";"Scheda";"0 @";"BEdT 425";"Rofian";" ";" ";"non precisabile";"Circa il luogo di attività, non necessariamente di origine, cfr. Asperti 1995, p.51-52 e note. Il testo è certamente duecentesco."
"";"Scheda";"0 autori diversi";"BEdT 448";"Uc";" ";" ";"non precisabile: diversi autori";"A Bausan (=045) sono da prob. da ricondurre due testi classificati da BdT sotto 448 Uc, BEdT 448,001 e BEdT 448,001a cfr. Harvey 2002, sopr. p.34-5 per il quadro delle rubriche e delle forme di indirizzo. Edizione della tenzone (BEdT 114,001) = BEdT 448,002 in Radaelli 2007 (Chardon - Ugon)."
"";"Scheda";"0 autori diversi";"BEdT 025";"Arnaut";" ";" ";"non precisabile: diversi autori";"Si tratta forse o probabilmente di più autori. Secondo Marshall 1985, p.453, il promotore della tenzone BEdT 025,001a (= BEdT 058,001) dovrebbe in realtà chiamarsi Arman , non Arnaut ."
"";"Scheda";"0 autori diversi";"BEdT 052";"Bernart";" ";" ";"non precisabile: diversi autori";" "
"";"Scheda";"0 diversi autori";"BEdT 131";"Elias";" ";" ";"non precisabile: diversi autori";" "
"";"Scheda";"0 diversi autori";"BEdT 367";"Peironet";" ";" ";"non precisabile: diversi autori";"La rubrica riunisce due trovatori certamente distinti, se si accetta l'identificazione del Peire di BEdT 322b,001 col re Pietro III d'Aragona: in questo caso il Peironet suo interlocutore è da distinguere con sicurezza dall'omonimo che dibatte con Guiraut de Salaignac nello scambio di coblas BEdT 322b,001 - BEdT 367,002."
"";"Scheda";"0 diversi autori";"BEdT 075";"Bertran";" ";" ";"non precisabile: diversi autori";"La rubrica Bertran individua anche Bertran d'Alamanon in tenzone con Sordel in 437,011. Il Bertran che discute con Monge nella tenzone BEdT 075,005 è molto probabilmente un italiano, a giudicare dalle rime (cfr. sopr. v.23-4). Il Bertran che contende col giullare Javare in BEdT 075,004 è qualificato dall'interlocutore come cavalier trobador e capace di comporre coblas ( pois coblas sabes faire )."
"";"Scheda";"0 diversi autori";"BEdT 127";"Eble";" ";" ";"non precisabile: diversi autori";" "
"";"Scheda";"0 diversi autori";"BEdT 165";"Gaucelm";" ";" ";"non precisabile: diversi autori";" "
"";"Scheda";"0 diversi autori";"BEdT 201";"Guillem";" ";" ";"non precisabile: diversi autori";"Il Guillem che dibatte con Peire in 322a,001 = 201,001 compone intorno al 1276"
"";"Scheda";"0: solo nominato";"BEdT 368";"Pelardit";" ";" ";"non precisabile: solo nominato";"Nominato da Uc de Lescura in un gruppo di trovatori e giullari di fama."
"";"Scheda";"0: solo nominato";"BEdT 078";"Bertran Arnaut";" ";" ";"non precisabile: solo nominato";"Trovatore noto solo attraverso l'indice del canz. di Bernart Amoros e del quale non si è conservato nessun testo."
