;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_^b2_0001";" ";"BEdT 375.B.A";"Pons decapduill";"Pons decapduill si fo un gentils bars del puei sancta maria";"009 r";"009 r"
"";"Scheda";"p_^b2_0002";" ";"BEdT 375,010";"Pons decapdueill.";"Humils e francx e fis soplei ues uos";"009 r";"009 v"
"";"Scheda";"p_^b2_0003";" ";"BEdT 375,001";"P. de cap.";"Aissi mes pres com selui que sercan";"009 v";"015 v"
"";"Scheda";"p_^b2_0004";" ";"BEdT 375.B.B";"-";"Pons decapdueill si amet com aues auzit denan. ma domna nalazais de mercuer";"015 v";"016 r"
"";"Scheda";"p_^b2_0005";" ";"BEdT 375,020";"-";"Aissi com sel ca pron de ualedors";"016 r";"016 v"
"";"Scheda";"p_^b2_0006";" ";"BEdT 375,018";"P. decap.";"Qui per nessi cuidar";"016 v";"017 v"
"";"Scheda";"p_^b2_0007";" ";"BEdT 375,011";"P. decap.";"Ia non er hom tan pros";"017 v";"018 v"
"";"Scheda";"p_^b2_0008";" ";"BEdT 375,014";"Pons de capd.";"Leials amicx cui amor ten ioios";"018 v";"019 r"
"";"Scheda";"p_^b2_0009";" ";"BEdT 379,002";"P. de cap.";"Si ai perdut mon saber";"019 r";"020 r"
"";"Scheda";"p_^b2_0010";" ";"BEdT 375,016";"P. decap.";"Meills com non pot dir ni pensar";"020 r";"020 v"
"";"Scheda";"p_^b2_0011";" ";"BEdT 375,007";"P. decap.";"De totz chaitius soi ieu aisel que plus";"020 v";"010 r"
"";"Scheda";"p_^b2_0012";" ";"BEdT 375,021";"P. DeCap.";"Si totz los gaugz els bes";"010 r";"010 v"
"";"Scheda";"p_^b2_0013";" ";"BEdT 189,001";"Granes";"Comte carle ieus uueill far entenden";"011 r";"011 v"
"";"Scheda";"p_^b2_0014";" ";"BEdT 046,002";"Comtessa de Dia.";"A chantar mer daso quieu non uolria";"012 r";"012 v"
"";"Scheda";"p_^b2_0015";" ";"BEdT 406,015";"-";"Que massa ricx ni trop sobriers";"021 r 01";"021 v"
"";"Scheda";"p_^b2_0016";" ";"BEdT 406,004";"R. de Mir.";"Amors mi fai chantar et esbaudir";"021 v";"022 r"
"";"Scheda";"p_^b2_0017";" ";"BEdT 406,020";"R.M.";"Sel que no uol auzir chansos";"022 r";"022 v"
"";"Scheda";"p_^b2_0018";" ";"BEdT 406,013";"R. DeMir.";"Ben magradal bel tems destiu";"023 r 01";"023 v"
"";"Scheda";"p_^b2_0019";" ";"BEdT 406,009";"R. M.";"Era magrops que maizis";"023 v";"024 v"
"";"Scheda";"p_^b2_0020";" ";"BEdT 406,046";"R. M.";"Tug sill que uaun demandan";"024 v";"025 v"
"";"Scheda";"p_^b2_0021";" ";"BEdT 406,015a";"R. M.";"Ben sai que perauentura";"025 v";"026 v"
"";"Scheda";"p_^b2_0022";" ";"BEdT 406,024";"R. M.";"Damor es totz mos consiriers";"026 v";"027 v"
"";"Scheda";"p_^b2_0023";" ";"BEdT 406,019";"R. M.";"Sel que de chantar sentremet";"027 v";"028 r"
"";"Scheda";"p_^b2_0024";" ";"BEdT 406,007";"R. M.";"Apenas sai don maprenh";"028 r";"028 v"
"";"Scheda";"p_°O_0001";"0001";"BEdT 234,004";"Guillem de sandisder.";"Ben chanterai se me stes be(n) damor";"001 A";"001 B"
"";"Scheda";"p_°O_0002";"0002";"BEdT 234,011";"Guillem de sandisder.";"Estat aurai estatz doas saisons";"001 B";"002 A"
"";"Scheda";"p_°O_0003";"0003";"BEdT 389,038a";"Rambald deluachera.";"Si de trobar agues meillor razon";"002 B";"002 B"
"";"Scheda";"p_°O_0004";"0004";"BEdT 392,028";"Rambald deluachera.";"Sauis efols humils eorgoillos";"003 A";"003 B"
"";"Scheda";"p_°O_0005";"0005";"BEdT 392,023";"Rambald deluachera.";"Leu pot hom gaug epretz auer";"003 B";"004 A"
"";"Scheda";"p_°O_0006";"0006";"BEdT 070,041";"Bernard del uentador.";"Cant p(ar)t la flor iustal uert foil";"004 A";"005 A"
"";"Scheda";"p_°O_0007";"0007";"BEdT 155,018";"folquet de marsseilla.";"Sal cor plagues ben fora oimais saizos";"005 A";"005 B"
"";"Scheda";"p_°O_0008";"0008";"BEdT 155,003";"folquet de marseilla.";"A cant gent uenz ca qa(n) pauc dafan";"005 B";"006 A"
"";"Scheda";"p_°O_0009";"0009";"BEdT 155,016";"folquet de marseilla.";"Per deu amor ben sabez uerament";"006 A";"007 A"
"";"Scheda";"p_°O_0010";"0010";"BEdT 070,031";"-";"Non es meraueilla seu chant";"007 A";"007 B"
"";"Scheda";"p_°O_0011";"0011";"BEdT 450,007";"Ugo bruneng.";"Pos la drecs te(m)ps ue(n) chanta(n) erizen";"007 B";"008 A"
"";"Scheda";"p_°O_0012";"0012";"BEdT 010,050";"-";"Aisi con larbres que per sobrecargar";"008 B";"008 B"
"";"Scheda";"p_°O_0012a";"0012bis";"BEdT 010,029";"-";"En pren lo cor (et) lo iorn ue(n)zanza";"008 B";"009 A"
"";"Scheda";"p_°O_0013";"0013";"BEdT 010,039";"-";"Nuls hom no sap q(ue) ses gauz nidolor";"009 A";"009 B"
"";"Scheda";"p_°O_0014";"0014";"BEdT 010,027";"-";"En greu pantais mate(n)gut longamen";"009 B";"010 A"
"";"Scheda";"p_°O_0015";"0015";"BEdT 010,015";"Naimeric de putham.";"Cel que sirais ni guerreia abamor";"010 A";"010 B"
"";"Scheda";"p_°O_0016";"0016";"BEdT 167,015";"-";"Cant edeport ioi do(m)nei esolatz";"010 B";"011 A"
"";"Scheda";"p_°O_0017";"0017";"BEdT 167,060";"-";"Tot mi cuidei de chansos far soffrir";"011 A";"012 A"
"";"Scheda";"p_°O_0018";"0018";"BEdT 167,049";"Bernartz del uentador.";"Cant la foilla sobra larbre sespan";"012 A";"012 A"
"";"Scheda";"p_°O_0019";"0019";"BEdT 016,016";"-";"Iausel faiditz, eu uos deman";"012 B";"012 B 16"
"";"Scheda";"p_°O_0019a";"0020";"BEdT 450,004";"-";"P(er) que aqil acui obs ma co(n)ques";"012 B 17";"013 A"
"";"Scheda";"p_°O_0019b";"0021";"BEdT 124,006";"-";"Ben aia amor car anc mefez chausir";"013 A";"013 B"
"";"Scheda";"p_°O_0020";"0022";"BEdT 124,002";"-";"Amors menuida em semon";"013 B";"014 A"
"";"Scheda";"p_°O_0021";"0023";"BEdT 124,010";"Albertetz.";"Un sonet gai elezier";"014 B";"015 A"
"";"Scheda";"p_°O_0022";"0024";"BEdT 404,006";"Raimon iordam.";"Per qual forfaig op(er) qual faillime(n)";"015 A";"015 B"
"";"Scheda";"p_°O_0022a";"0025";"BEdT 011,002";"-";"Si con om fai di(n)z lofrre camian";"015 B";"015 B"
"";"Scheda";"p_°O_0023";"0026";"BEdT 223,003";"-";"En aisim pren com fai al pescador";"015 B";"016 B"
"";"Scheda";"p_°O_0024";"0027";"BEdT 087,001";"-";"Bona dona dunaren q(ue)us deman";"016 B";"017 A"
"";"Scheda";"p_°O_0025";"0028";"BEdT 421,003";"-";"Autresi con p(er)seuaus el te(n)ps qel uiuia";"017 A";"017 B"
"";"Scheda";"p_°O_0026";"0029";"BEdT 421,001";"-";"Atresi co(n) le leos qez es tan fers eta(n) gais";"017 B";"018 A"
"";"Scheda";"p_°O_0027";"0030";"BEdT 421,002";"-";"Atressi con lolifant q(ue) ta(n) chai no poc leuar";"018 A";"019 A"
"";"Scheda";"p_°O_0028";"0031";"BEdT 016,001";"Albertet.";"Ab ioi com(en)cei ma chanzon";"019 A";"019 B"
"";"Scheda";"p_°O_0029";"0032";"BEdT 016,012";"Albertet.";"En amor ai ta(n)t petit deffiansa";"019 B";"020 A"
"";"Scheda";"p_°O_0030";"0033";"BEdT 016,013";"Albertet.";"En amor ai ta(n)t de mal segnoraie";"020 A";"021 A"
"";"Scheda";"p_°O_0031";"0034";"BEdT 366,009";"Peirols.";"Coras qem fezes doler";"021 A";"021 B"
"";"Scheda";"p_°O_0032";"0035";"BEdT 388,001";"Contencio Rambaut (et) albertet.";"Albert dos pros caualler";"021 B";"022 A"
"";"Scheda";"p_°O_0033";"0036";"BEdT 106,002";"Cathenet.";"A com do(m)pna ric coraie";"022 A";"023 A"
"";"Scheda";"p_°O_0034";"0037";"BEdT 375,014";"-";"Leials amics cui amor te(n) ioios";"023 A";"023 B"
"";"Scheda";"p_°O_0035";"0038";"BEdT 370,009";"-";"Lo mal damor ai eu ben tot ap(ri)s";"023 B";"024 A"
"";"Scheda";"p_°O_0036";"0039";"BEdT 375,020";"Pontz de capdoill.";"Si con aisel qa pron de ualedors";"024 A";"024 B"
"";"Scheda";"p_°O_0037";"0040";"BEdT 194,008";"-";"Ies de chantar nom fal cor ni raiso(n)";"024 B";"025 B"
"";"Scheda";"p_°O_0038";"0041";"BEdT 194,019";"-";"Si bem partez mala do(m)pna de uos";"025 B";"026 A"
"";"Scheda";"p_°O_0039";"0042";"BEdT 461,189";"-";"Per finamor ses enian";"026 A";"026 B"
"";"Scheda";"p_°O_0040";"0043";"BEdT 392,002";"-";"Aram requier sa costume son us";"026 B";"027 A"
"";"Scheda";"p_°O_0041";"0044";"BEdT 305,001";"-";"Aissi con cel ca estat senz seingnor";"027 A";"027 B"
"";"Scheda";"p_°O_0042";"0045";"BEdT 070,027";"-";"Lo te(m)ps aqeu no(n) chante mais";"027 B";"028 A"
"";"Scheda";"p_°O_0043";"0046";"BEdT 242,001";"-";"A ben chantar couen amars";"028 A";"029 A"
"";"Scheda";"p_°O_0044";"0047";"BEdT 457,003";"-";"Anc enemics qi eu agues";"029 A";"029 B"
"";"Scheda";"p_°O_0045";"0048";"BEdT 457,040";"-";"Tres enemics edos mal seignor ai";"029 A";"030 B"
"";"Scheda";"p_°O_0046";"0049";"BEdT 366,013";"Peirols.";"Dun bon uers uai pe(n)ssan co(n) lofezes";"030 B";"031 A"
"";"Scheda";"p_°O_0047";"0050";"BEdT 366,031";"Peirols.";"Si bem soi loi(n)g (et) entre genzestraig(na)";"031 A";"031 B"
"";"Scheda";"p_°O_0048";"0051";"BEdT 389,016";"-";"Er sespan la flors enuersa";"031 B";"032 A"
"";"Scheda";"p_°O_0049";"0052";"BEdT 366,019";"-";"Manta gentz mimal raisona";"032 A";"033 A"
"";"Scheda";"p_°O_0050";"0053";"BEdT 155,010";"-";"Greu fera nuls hom faillenza";"033 A";"033 B"
"";"Scheda";"p_°O_0051";"0054";"BEdT 155,014";"-";"Mult ifetz gran pecat amors";"034 B";"035 B"
"";"Scheda";"p_°O_0052";"0055";"BEdT 366,029";"-";"Quant amors trobet parti";"034 B";"035 A"
"";"Scheda";"p_°O_0053";"0056";"BEdT 366,026";"-";"Per dan qi damor maueigna";"035 A";"036 A"
"";"Scheda";"p_°O_0054";"0057";"BEdT 404,011";"-";"Ves uos soplei do(m)pna primeramen";"035 B";"035 B"
"";"Scheda";"p_°O_0055";"0058";"BEdT 016,008";"-";"Bon cha(n)tar fai al ge(n)t te(m)ps de pascor";"035 B";"036 B"
"";"Scheda";"p_°O_0056";"0059";"BEdT 370,013";"-";"Tot lan mi ten amor daital saison";"036 B";"037 A"
"";"Scheda";"p_°O_0057";"0060";"BEdT 070,028";"-";"Lo genz te(m)ps de pascor";"037 A";"037 B"
"";"Scheda";"p_°O_0058";"0061";"BEdT 364,042";"-";"Seu fos en cort on om te(n)gues dritu(r)a";"037 B";"038 A"
"";"Scheda";"p_°O_0059@";"0062";"BEdT 167,032";"-";"Lo genz cors onratz";"038 B";"039 A"
"";"Scheda";"p_°O_0060";"0063";"BEdT 457,026";"-";"Nuls hom no sap damic tro la p(er)dut";"039 A";"039 B"
"";"Scheda";"p_°O_0061";"0064";"BEdT 355,005";"-";"Aissi con la chandeilla";"039 B";"040 B"
"";"Scheda";"p_°O_0062";"0065";"BEdT 364,008";"-";"Baron (Iezus) qen crux fo mes";"040 B";"041 B"
"";"Scheda";"p_°O_0063";"0066";"BEdT 030,003";"-";"Aissi con cel cama e no(n) es amatz";"041 B";"042 A"
"";"Scheda";"p_°O_0064";"0067";"RS 0782";"-";"Per gra(n) fra(n)chisa me co(n)uen cha(n)tar";"042 A";"042 B"
"";"Scheda";"p_°O_0065@";"0068";"BEdT 240,004";"-";"Ara sabrai seges de cortesia";"042 B";"043 A"
"";"Scheda";"p_°O_0066";"0069";"BEdT 356,004";"-";"Des en bon uers no(n) posc faillir";"043 A";"044 A"
"";"Scheda";"p_°O_0067";"0070";"BEdT 450,003";"-";"Coindas razos enouellas plaze(n)z";"044 A";"044 B"
"";"Scheda";"p_°O_0068";"0071";"BEdT 070,007";"-";"Ara no(n) uei luzir solei";"044 B";"045 A"
"";"Scheda";"p_°O_0069";"0072";"BEdT 202,009";"-";"Non pot esser suffert niate(n)dut";"045 A";"045 B"
"";"Scheda";"p_°O_0070";"0073";"BEdT 364,039";"-";"Can hom es en autru poder";"045 B";"046 A"
"";"Scheda";"p_°O_0071@";"0074";"BEdT 366,031";"-";"Si ben sui loing e entre ge(n)t estrag(na)";"046 B";"047 A"
"";"Scheda";"p_°O_0072";"0075";"BEdT 372,004";"-";"Bona do(m)pna un co(n)seil uos deman";"047 A";"047 B"
"";"Scheda";"p_°O_0073";"0076";"BEdT 070,017";"-";"En consirers (et) esmai";"047 B";"048 B"
"";"Scheda";"p_°O_0074";"0077";"BEdT 167,059";"-";"Cant ai sufert lo(n)gam(en) granz afan";"048 B";"049 A"
"";"Scheda";"p_°O_0075";"0078";"BEdT 010,052";"-";"Tot hom caiso blasma qe deu lauzar";"049 A";"050 A"
"";"Scheda";"p_°O_0076";"0079";"BEdT 010,017";"-";"Daizo don hom alonguamen";"050 A";"050 B"
"";"Scheda";"p_°O_0077@";"0080";"BEdT 155,021";"-";"Si tot misoi atart ap(er)cebut";"050 B";"051 B"
"";"Scheda";"p_°O_0078";"0081";"BEdT 030,022";"-";"Si con li peis an en laiga lor uida";"051 A";"051 B"
"";"Scheda";"p_°O_0079";"0082";"BEdT 030,017";"-";"Densegnamen el pretz ela ualor";"051 B";"052 A"
"";"Scheda";"p_°O_0080";"0083";"BEdT 030,023";"-";"Sim destregnez do(m)pna uos eamors";"052 A";"052 B"
"";"Scheda";"p_°O_0081";"0084";"BEdT 030,008";"-";"Anc uas amor no(n) poc res (con)tradire";"052 B";"053 B"
"";"Scheda";"p_°O_0082";"0085";"BEdT 010,033";"-";"Luiamen ma treballat emalmes";"053 B";"054 A"
"";"Scheda";"p_°O_0082a";"0086";"BEdT 194,011";"-";"Res me(n)s damor p(er) q(ue)u damar mi lais";"054 A";"054 B"
"";"Scheda";"p_°O_0083";"0087";"RS 1126";"-";"Fonca nuls hom por dura de partea";"054 B";"055 B"
"";"Scheda";"p_°O_0083a@";"0087bis";"RS 1125";"-";"Mult acrossez amoros acointandre";"054 B";"055 B"
"";"Scheda";"p_°O_0084";"0088";"BEdT 194,003";"-";"Ben fara chanzos plus souen";"055 B";"056 A"
"";"Scheda";"p_°O_0084a";"0089";"BEdT 217,007";"-";"Totz hom qi ben comensa ebe(n) fenis";"056 A";"056 B"
"";"Scheda";"p_°O_0085";"0090";"BEdT 155,022";"-";"Tan ma bellis la moros pensame(n)s";"056 B";"057 A"
"";"Scheda";"p_°O_0086";"0091";"BEdT 355,009";"-";"Nom posc sofrir do(m)pna leu cha(n)zo(n) faire";"057 A";"058 A"
"";"Scheda";"p_°O_0087";"0092";"BEdT 370,014";"-";"Trop ai estat qe bon esp(er)s no(n) ui";"058 A";"058 B"
"";"Scheda";"p_°O_0088@";"0093";"BEdT 155,011";"-";"Ia nos cug hom q(u)e camge mas cha(n)sos";"058 B";"059 A"
"";"Scheda";"p_°O_0089";"0094";"BEdT 210,002a";"-";"Arondeta de ton chantar maer";"059 A";"059 B"
"";"Scheda";"p_°O_0090";"0095";"BEdT 155,027";"-";"Uns uolers ultre cuiatz";"059 B";"060 B"
"";"Scheda";"p_°O_0091";"0096";"BEdT 070,043";"-";"Cant uei la lauzeta mouer";"060 B";"061 A"
"";"Scheda";"p_°O_0092";"0097";"BEdT 070,012";"-";"Ben man p(er)dut laiuer uentador";"061 A";"061 B"
"";"Scheda";"p_°O_0093";"0098";"BEdT 070,016";"-";"Conhert ara sai eu be";"061 B";"062 B"
"";"Scheda";"p_°O_0094@";"0099";"BEdT 070,006";"-";"Aram conseillatz seignor";"062 B";"063 A"
"";"Scheda";"p_°O_0095";"0100";"BEdT 070,039";"-";"Cant herbe uert efoila par";"063 A";"064 A"
"";"Scheda";"p_°O_0096";"0101";"BEdT 070,021";"-";"Ges de chantar nom pren talenz";"064 A";"064 B"
"";"Scheda";"p_°O_0097@";"0102";"BEdT 364,010";"-";"Ben magrada la couinenz saisos";"065 A";"065 B"
"";"Scheda";"p_°O_0098";"0103";"BEdT 364,046";"-";"Tant ai loniamen cercat";"065 B";"066 B"
"";"Scheda";"p_°O_0099";"0104";"BEdT 070,037";"-";"Cant lautra dousa ue(n)ta";"066 B";"066 B"
"";"Scheda";"p_°O_0100";"0105";"BEdT 331,001";"-";"En abril qa(n)t uei ue(r)doiar";"066 B";"067 A"
"";"Scheda";"p_°O_0101";"0106";"BEdT 167,062";"-";"Tuit cil qi amo(n) ualor";"067 A";"068 A"
"";"Scheda";"p_°O_0102";"0107";"BEdT 167,012";"-";"Lem platz emes ien";"068 A";"068 B"
"";"Scheda";"p_°O_0103";"0108";"BEdT 243,002";"-";"Ce leis cui am de cor ede saber";"068 B";"069 A"
"";"Scheda";"p_°O_0104";"0109";"BEdT 375,003";"-";"Astrucs es cel cui amors ten ioios";"069 A";"070 B"
"";"Scheda";"p_°O_0105";"0110";"BEdT 234,007";"-";"Do(m)pna eo uos sui mesagier";"069 B";"070 A"
"";"Scheda";"p_°O_0106";"0111";"BEdT 124,011";"-";"Non cuigei mais ses comiat far chanzon";"070 A";"070 B"
"";"Scheda";"p_°O_0107";"0112";"BEdT 375,007";"-";"De totz chaitius sui ieu aicel qi plus";"070 B";"071 A"
"";"Scheda";"p_°O_0108";"0113";"BEdT 375,005";"-";"Ben sai qe p(er) sobre ualer";"071 A";"071 B"
"";"Scheda";"p_°O_0109";"0114";"BEdT 375,021";"-";"Se totz los gaug els bes";"071 B";"072 A"
"";"Scheda";"p_°O_0110";"0115";"BEdT 155,013";"-";"Meraueil mei co(m)ponul ho(m) chantar";"072 A";"072 B"
"";"Scheda";"p_°O_0111";"0116";"BEdT 461,205";"-";"Can uei laflor sobrel sambuc";"072 A";"073 A"
"";"Scheda";"p_°O_0111a";"0116bis";"BEdT 461,203a";"-";"Cant me done lanel daurat";"073 A";"073 A"
"";"Scheda";"p_°O_0112";"0117";"BEdT 392,020";"-";"Ia no(n) cuidei uezer";"073 A";"073 B"
"";"Scheda";"p_°O_0113";"0118";"BEdT 406,002";"-";"Aissi con es genser pascor";"073 A";"074 B"
"";"Scheda";"p_°O_0114";"0119";"BEdT 155.B.A";"-";"Folquetz Si fo de marsseil/la fils dun mercader que/fo de genoa (et) ac nom ser am/fos.";"075 A";"075 A"
"";"Scheda";"p_°O_0115";"0120";"BEdT 366,027a";"En folqetz de marseilla.";"Pos entrames me sui de far / chanzos";"075 B";"076 A"
