id,title,nwits
BIB580,Canterbury Tales: Clerk's Prologue and Tale (including the Host's stanza),63
BIB596,"Canterbury Tales: Shipman-Prioress Link, Prioress's Prologue and Tale",61
BIB3615,Wycliffite Bible (later version),61
BIB588,Canterbury Tales: Thopas-Melibee Link and Tale of Melibee,60
BIB591,"Canterbury Tales: Man of Law's Head-Link, Prologue, Tale, and End-Link",60
BIB585,Canterbury Tales: Knight's Tale,57
BIB606,Canterbury Tales: Summoner's Prologue and Tale,56
BIB608,Canterbury Tales: Wife of Bath's Prologue and Tale,56
BIB584,Canterbury Tales: Friar's Prologue and Tale,55
BIB589,Canterbury Tales: Miller's Prologue and Tale,55
BIB599,Canterbury Tales: Reeve's Prologue and Tale,55
BIB601,Canterbury Tales: Second Nun's Prologue and Tale,55
BIB605,"Canterbury Tales: Squire's Prologue, Tale, Squire-Franklin Link, including the Words of the Host to the Franklin",55
BIB583,Canterbury Tales: Franklin's Prologue and Tale,54
BIB593,"Canterbury Tales: Physician-Pardoner Link, Pardoner's Prologue, Tale, and Epilogue",54
BIB600,Canterbury Tales: Shipman's Tale,54
BIB607,Canterbury Tales: Prioress-Thopas Link and Chaucer's Tale of Sir Thopas,54
BIB2143,Mirror of the Blessed Life of Jesus Christ,54
BIB586,"Canterbury Tales: Merchant's Prologue (=Clerk-Merchant Link), Tale, and End-link",52
BIB590,Canterbury Tales: Monk's Tale and the Melibee-Monk Link,52
BIB592,"Canterbury Tales: Nun's Priest's Prologue, Tale, and End-Link",52
BIB595,Canterbury Tales: Physician's Tale,52
BIB5963,'The Dome of Uryne' Uroscopy text,51
BIB587,Canterbury Tales: Manciple's Prologue and Tale,50
BIB597,Canterbury Tales: General Prologue,49
BIB3245,Speculum Christiani (1),49
BIB581,Canterbury Tales: Cook's Prologue and Tale,48
BIB582,Canterbury Tales: Canon Yeoman's Prologue and Tale,48
BIB594,Canterbury Tales: Parson's Prologue and Tale (exclusive of the Retraction),48
BIB5957,'Cleansing of Blood' Uroscopy text,38
BIB2238,Life of Our Lady,35
BIB570,Treatise on the Astrolabe,32
BIB1254,English Tags in the Fasciculus Morum,32
BIB6194,Glosses in Tony Hunt's Teaching and Learning Latin,32
BIB3873,Wycliffite Sermons,31
BIB2231,Verses on the Kings of England,30
BIB3579,Wycliffite Bible (early version),30
BIB3701,The Wise Book of Philosophy and Astronomy,29
