Virtutes apostolorum 	90
Apparatus ad Authenticum 	144
Apparatus ad Codicem 	236
Apparatus ad Digestum novum 	149
Apparatus ad Digestum vetus 	201
Apparatus ad Infortiatum 	152
Apparatus ad Institutiones 	287
Apparatus ad Libros feudorum 	87
Apparatus ad Tres libros 	135
Ad celebres rex caelice 	30
Admonitio ad Nonswindam reclusam 	140
Summula pauperum 	100
Visio Eadmundi monachi de Egnesham 	25
De locis sanctis 	39
De cura accipitrum 	6
Quaestiones naturales 	28
Martyrologium 	43
Historia translationis sancti Benedicti 	85
Carmen de pulsibus 	16
Carmen de urinis 	32
De ordine iudiciario 	114
Mysterium de agno paschali 	74
Capitula fidei christianae 	42
De plurificatione possibilis intellectus 	35
De regimine principum 	350
Historia Bohemica 	38
Cosmographia 	36
Anticlaudianus 	117
Ars praedicandi 	127
De fide catholica 	33
De planctu naturae 	133
Distinctiones dictionum theologicarum 	41
Liber poenitentialis 	41
Regulae caelestis iuris 	51
Sermones 	31
Liber consolationis et consilii 	168
Liber de amore et dilectione Dei et proximi et aliarum rerum et de forma vitae 	39
Liber de doctrina dicendi et tacendi 	290
Perutilis logica 	38
De anima 	66
De animalibus 	113
De caelo et mundo 	34
De causis et processu universitatis a prima causa 	36
De causis proprietatum elementorum 	40
De corpore Domini 	84
De generatione et corruptione 	50
De homine 	40
De intellectu et intelligibili 	81
De iuventute et senectute 	42
De memoria et reminiscentia 	44
De mineralibus 	139
De morte et vita 	41
De motibus animalium 	33
De mysterio missae 	84
De natura et origine animae 	57
De natura loci 	49
De nutrimento et nutrito 	58
De sensu et sensato 	44
De somno et vigilia 	60
De spiritu et respiratione 	44
De unitate intellectus 	27
De vegetabilibus 	40
Ethica 	29
Metaphysica 	40
Meteora 	80
Physica 	56
Super Porphyrium De V universalibus 	25
Liber de virtutibus herbarum, lapidum et animalium (Liber aggregationis) 	76
Mariale 	33
Speculum astronomiae 	60
Chirurgia (secundum versionem Gerhardi Cremonensis) 	33
Flores 	40
Introductorius (secundum versionem Johannis Hispalensis) 	200
Admonitio generalis 	40
Carmen « Continet iste decem » 	35
