Eliminate?,Title,NWits,Note JBC
X,Ablaßgebete,48,Prayers for indulgency
X,Aderlassregeln,99,medical treatises?
X,Annalistische Nachrichten,9,
X,Antiphon,38,antiphonary
X,Anweisung für Büchsenmeister,1,
X,Archivalien,52,
X,Arzneibuch,133,pharmaceutical text
X,Astronomisch-astrologisches Werk,41,
X,Aufzählung biblischer Bücher,5,
X,Autoritäten-Sammlung,19,
X,Barfüßer-Lesemeister,1,
X,Beichtbuch (gereimt),1,
X,Betrachtung des Leidens Christi,10,
X,Bibelübersetzung,108,Bible translation
X,Bildbeischriften,2,
X,"Briefe, Briefentwürfe",91,Letters
X,Bruder Erbe,1,
X,Bruderschaftsbuch,18,
X,Bücherverzeichnis,3,
X,Bußpsalmen,85,Penitential hymns
X,Ehelehre,1,
X,Eidesformel,10,
X,Epistelbuch,2,
X,Eucharistie- und Meßtraktat,3,
X,Exempel / Exempelsammlung,84,Collection of exempla
X,Fegfeuer,2,
X,Fiebertraktat,2,
X,Formularbuch,23,
X,Frauenlob,34, Frauenlob (Heinrich von Meißen).
X,Gedichtentwürfe,1,
X,Geistige Wallfahrten,1,
X,Glaubensbekenntnisse,98,credo
X,Glossar,110,glossar
X,Gottesdienst-Ordnung,3,
X,Güterverzeichnis,3,
X,Habsburgische Genealogie,5,
X,Heiltumsbücher,10,
X,Heiratsformel,2,
X,Horoskope,5,
X,Hymnare und Hymnenerklärungen in deutscher Sprache,21,
X,Johannes-Evangelium,17,
X,Judeneid,104,Jewish oath
X,Kalender,313,calendar
X,Kardobenediktentraktat,8,
X,Katechismus,14,
X,Kirchenrechnungen,1,
X,Klage/Sprüche von der Armut,1,
X,Kleiderordnung,1,
X,Kochbuch,19,
X,Komanisch-deutsches Glossar,1,
X,Kreuzauffindungslegende,1,
X,Kunst- und Wunderbuch,1,
X,Legendare,7,
X,Lepraschau-Texte,3,
X,Lieder,120,Songs
X,Litanei,92,Litany
X,Lobgesänge,11,
X,Magdalenenbalsam,3,
X,Mariendichtung,6,
X,"Martyrologium, dt.",8,
X,Medizinisch-computistische Sammelhandschrift,3,
X,Melissentraktat,3,
