Incipit ,Hs. ,Korpus ,Editionen 
"Ach got, wes zichet mich du̍vroͮwe min",C,Christan von Luppin,KLD 31 IV
Ach unde owe her tot waz habn uch getan,B₁,Regenbogen,RSM ¹Regb/1/10
"Ach, winter, din gewalt",B,Namenlos/​Gemischt,KLD 33 II 1; SNE I: B
"Achtent, wie mir were",C,Bruno von Hornberg,KLD 3 IV
"Ahy, nu sol du̍welt lâssen manige swere",C,Heinrich von der Mure,KLD 22 III
Ain maister maisterleichen sass mit werch ob seinem tichte,m₂,Konrad von Würzburg,RSM ¹KonrW/7/504f
Ain raine hohgemuͤte,"B, C",Rubin,KLD 47 XV A
Ain schappel brun unde underwilent ie blang,"B, C",Hiltbolt von Schwangau,KLD 24 II
Ain wip mag wol erloͮben mir,B,Namenlos/​Gemischt,"KLD 69 III 1; MF 5,16"
Al der werlte hôhe,C,Alram/Waltram von Gresten,SNE I: R 54 (R II)
"Alle, die in hohem muͦte wellen sin","C, L",Ulrich von Liechtenstein,KLD 58 XXVI
Aller selde ain selig wip,B,Namenlos/​Gemischt,"MF 176,5"
Aller selde ein selic wib,C,Reinmar,"MF 176,5"
Aller selden selic wip,A,Reinmar der Fiedler,"MF 176,5"
"Almehtic schepfer, den ich ob den ku̍nigen allen prise","C, J, B₃",Konrad von Würzburg,Schr XXXII 2; RSM ¹KonrW/7/2a
"Als ich stan unde denke, wa ich si hab gesehen",C,Reinmar von Brennenberg,KLD 44 IV 3; RSM ¹ReiBr/3a
An der genaden al min froͤide stat,C,Friedrich von Hausen,"MF 43,28"
An lu̍ten hat du̍gotes kraft,C,Konrad von Würzburg,Schr XXV 5; RSM ¹KonrW/5/5a
"Anger, walt, du̍liehte heide breit",C,Konrad von Kirchberg,KLD 33 VI
Aspis ein wurn geheissen ist,C,Konrad von Würzburg,Schr XXV 1; RSM ¹KonrW/5/2a
Asspis ein slang geheissen ist,k,Konrad von Würzburg,RSM ¹KonrW/5/504a
Auß hoher abentewer ein su̍sse wirdigkeit,f,Frauenlob (Heinrich von Meißen),KLD 65 I
"Beschiht des niht, so muͦs ich eine",C,Gottfried von Neifen,KLD 15 XI
Bi liebe lag,C,Ulrich von Winterstetten,KLD 59 XXVIII
Bi so grôssen ungelingen,"C, L",Ulrich von Liechtenstein,KLD 58 XIX
Crist enbu̍tet sinu̍mere,"A, C",Hawart,KLD 19 II
"Danc hab der edel furste, der bi sime leben",B₁,Regenbogen,RSM ¹Regb/1/9
Dank habe ir hochgelopter nam,C,Der Kol von Niunzen,KLD 29 IV
"Das die milten also fruͤge sterbent, die nah prise werbent",C,Konrad von Würzburg,Schr XXXI 7; RSM ¹KonrW/6/7a
