,Nb de témoins
Trad1,1
Trad2,1
Trad3,1
Trad4,1
Trad5,1
Trad6,1
Trad7,1
Trad8,1
Trad9,1
Trad10,1
Trad11,1
Trad12,1
Trad13,1
Trad14,1
Trad15,1
Trad16,1
Trad17,1
Trad18,1
Trad19,1
Trad20,1
Trad21,1
Trad22,1
Trad23,1
Trad24,1
Trad25,1
Trad26,1
Trad27,1
Trad28,1
Trad29,1
Trad30,1
Trad31,1
Trad32,1
Trad33,1
Trad34,1
Trad35,1
Trad36,1
Trad37,1
Trad38,1
Trad39,1
Trad40,1
Trad41,1
Trad42,1
Trad43,1
Trad44,1
Trad45,1
Trad46,1
Trad47,1
Trad48,1
Trad49,1
Trad50,1
Trad51,1
Trad52,1
Trad53,1
Trad54,1
Trad55,1
Trad56,1
Trad57,1
Trad58,1
Trad59,1
Trad60,1
Trad61,1
Trad62,1
Trad63,1
Trad64,1
Trad65,1
Trad66,1
Trad67,1
Trad68,1
Trad69,1
Trad70,1
Trad71,1
Trad72,1
Trad73,1
Trad74,1
Trad75,1
Trad76,1
Trad77,2
Trad78,2
Trad79,2
Trad80,2
Trad81,2
Trad82,2
Trad83,2
Trad84,2
Trad85,2
Trad86,2
Trad87,2
Trad88,2
Trad89,2
Trad90,2
Trad91,2
Trad92,2
Trad93,2
Trad94,2
Trad95,2
Trad96,2
Trad97,2
Trad98,2
Trad99,2
Trad100,2
Trad101,2
Trad102,2
Trad103,2
Trad104,2
Trad105,2
Trad106,2
Trad107,2
Trad108,2
Trad109,2
Trad110,2
Trad111,2
Trad112,2
Trad113,2
Trad114,2
Trad115,2
Trad116,2
Trad117,2
Trad118,2
Trad119,2
Trad120,2
TradOtinel,3
Trad122,3
Trad123,3
Trad124,3
Trad125,3
Trad126,3
Trad127,3
Trad128,3
Trad129,3
Trad130,3
Trad131,3
Trad132,3
Trad133,3
Trad134,3
Trad135,3
Trad136,3
Trad137,3
Trad138,3
Trad139,3
Trad140,3
Trad141,3
Trad142,3
Trad143,3
Trad144,3
Trad145,3
Trad146,3
Trad147,3
Trad148,3
Trad149,4
Trad150,4
Trad151,4
Trad152,4
Trad153,4
Trad154,4
Trad155,4
Trad156,4
Trad157,4
Trad158,4
Trad159,4
Trad160,5
Trad161,5
Trad162,5
Trad163,5
Trad164,5
Trad165,5
Trad166,5
Trad167,5
Trad168,6
Trad169,6
Trad170,6
Trad171,6
Trad172,6
Trad173,6
Trad174,6
Trad175,6
Trad176,7
Trad177,7
Trad178,7
Trad179,7
Trad180,7
Trad181,7
Trad182,7
Trad183,7
Trad184,7
Trad185,7
Trad186,8
Trad187,9
Trad188,9
Trad189,9
Trad190,10
Trad191,10
Trad192,10
Trad193,10
Trad194,11
Trad195,11
Trad196,13
Trad197,13
Trad198,13
Trad199,14
Trad200,15
Trad201,17
Trad202,17
Trad203,17
Trad204,22
Trad205,29
