witness_ID;text_ID;author
p_^b2_0001;BEdT 375.B.A;Pons decapduill
p_^b2_0002;BEdT 375,010;Pons decapdueill.
p_^b2_0003;BEdT 375,001;P. de cap.
p_^b2_0004;BEdT 375.B.B;-
p_^b2_0005;BEdT 375,020;-
p_^b2_0006;BEdT 375,018;P. decap.
p_^b2_0007;BEdT 375,011;P. decap.
p_^b2_0008;BEdT 375,014;Pons de capd.
p_^b2_0009;BEdT 379,002;P. de cap.
p_^b2_0010;BEdT 375,016;P. decap.
p_^b2_0011;BEdT 375,007;P. decap.
p_^b2_0012;BEdT 375,021;P. DeCap.
p_^b2_0013;BEdT 189,001;Granes
p_^b2_0014;BEdT 046,002;Comtessa de Dia.
p_^b2_0015;BEdT 406,015;-
p_^b2_0016;BEdT 406,004;R. de Mir.
p_^b2_0017;BEdT 406,020;R.M.
p_^b2_0018;BEdT 406,013;R. DeMir.
p_^b2_0019;BEdT 406,009;R. M.
p_^b2_0020;BEdT 406,046;R. M.
p_^b2_0021;BEdT 406,015a;R. M.
p_^b2_0022;BEdT 406,024;R. M.
p_^b2_0023;BEdT 406,019;R. M.
p_^b2_0024;BEdT 406,007;R. M.
p_°O_0001;BEdT 234,004;Guillem de sandisder.
p_°O_0002;BEdT 234,011;Guillem de sandisder.
p_°O_0003;BEdT 389,038a;Rambald deluachera.
p_°O_0004;BEdT 392,028;Rambald deluachera.
p_°O_0005;BEdT 392,023;Rambald deluachera.
p_°O_0006;BEdT 070,041;Bernard del uentador.
p_°O_0007;BEdT 155,018;folquet de marsseilla.
p_°O_0008;BEdT 155,003;folquet de marseilla.
p_°O_0009;BEdT 155,016;folquet de marseilla.
p_°O_0010;BEdT 070,031;-
p_°O_0011;BEdT 450,007;Ugo bruneng.
p_°O_0012;BEdT 010,050;-
p_°O_0012a;BEdT 010,029;-
p_°O_0013;BEdT 010,039;-
p_°O_0014;BEdT 010,027;-
p_°O_0015;BEdT 010,015;Naimeric de putham.
p_°O_0016;BEdT 167,015;-
p_°O_0017;BEdT 167,060;-
p_°O_0018;BEdT 167,049;Bernartz del uentador.
p_°O_0019;BEdT 016,016;-
p_°O_0019a;BEdT 450,004;-
p_°O_0019b;BEdT 124,006;-
p_°O_0020;BEdT 124,002;-
p_°O_0021;BEdT 124,010;Albertetz.
p_°O_0022;BEdT 404,006;Raimon iordam.
p_°O_0022a;BEdT 011,002;-
p_°O_0023;BEdT 223,003;-
p_°O_0024;BEdT 087,001;-
p_°O_0025;BEdT 421,003;-
p_°O_0026;BEdT 421,001;-
p_°O_0027;BEdT 421,002;-
p_°O_0028;BEdT 016,001;Albertet.
p_°O_0029;BEdT 016,012;Albertet.
p_°O_0030;BEdT 016,013;Albertet.
p_°O_0031;BEdT 366,009;Peirols.
p_°O_0032;BEdT 388,001;Contencio Rambaut (et) albertet.
p_°O_0033;BEdT 106,002;Cathenet.
p_°O_0034;BEdT 375,014;-
p_°O_0035;BEdT 370,009;-
p_°O_0036;BEdT 375,020;Pontz de capdoill.
p_°O_0037;BEdT 194,008;-
p_°O_0038;BEdT 194,019;-
p_°O_0039;BEdT 461,189;-
p_°O_0040;BEdT 392,002;-
p_°O_0041;BEdT 305,001;-
p_°O_0042;BEdT 070,027;-
p_°O_0043;BEdT 242,001;-
p_°O_0044;BEdT 457,003;-
p_°O_0045;BEdT 457,040;-
p_°O_0046;BEdT 366,013;Peirols.
p_°O_0047;BEdT 366,031;Peirols.
p_°O_0048;BEdT 389,016;-
p_°O_0049;BEdT 366,019;-
p_°O_0050;BEdT 155,010;-
p_°O_0051;BEdT 155,014;-
p_°O_0052;BEdT 366,029;-
p_°O_0053;BEdT 366,026;-
p_°O_0054;BEdT 404,011;-
p_°O_0055;BEdT 016,008;-
