witness_ID;text_ID;author
BIB580_1;BIB580;
BIB580_2;BIB580;
BIB580_3;BIB580;
BIB580_4;BIB580;
BIB580_5;BIB580;
BIB580_6;BIB580;
BIB580_7;BIB580;
BIB580_8;BIB580;
BIB580_9;BIB580;
BIB580_10;BIB580;
BIB580_11;BIB580;
BIB580_12;BIB580;
BIB580_13;BIB580;
BIB580_14;BIB580;
BIB580_15;BIB580;
BIB580_16;BIB580;
BIB580_17;BIB580;
BIB580_18;BIB580;
BIB580_19;BIB580;
BIB580_20;BIB580;
BIB580_21;BIB580;
BIB580_22;BIB580;
BIB580_23;BIB580;
BIB580_24;BIB580;
BIB580_25;BIB580;
BIB580_26;BIB580;
BIB580_27;BIB580;
BIB580_28;BIB580;
BIB580_29;BIB580;
BIB580_30;BIB580;
BIB580_31;BIB580;
BIB580_32;BIB580;
BIB580_33;BIB580;
BIB580_34;BIB580;
BIB580_35;BIB580;
BIB580_36;BIB580;
BIB580_37;BIB580;
BIB580_38;BIB580;
BIB580_39;BIB580;
BIB580_40;BIB580;
BIB580_41;BIB580;
BIB580_42;BIB580;
BIB580_43;BIB580;
BIB580_44;BIB580;
BIB580_45;BIB580;
BIB580_46;BIB580;
BIB580_47;BIB580;
BIB580_48;BIB580;
BIB580_49;BIB580;
BIB580_50;BIB580;
BIB580_51;BIB580;
BIB580_52;BIB580;
BIB580_53;BIB580;
BIB580_54;BIB580;
BIB580_55;BIB580;
BIB580_56;BIB580;
BIB580_57;BIB580;
BIB580_58;BIB580;
BIB580_59;BIB580;
BIB580_60;BIB580;
BIB580_61;BIB580;
BIB580_62;BIB580;
BIB580_63;BIB580;
BIB596_1;BIB596;
BIB596_2;BIB596;
BIB596_3;BIB596;
BIB596_4;BIB596;
BIB596_5;BIB596;
BIB596_6;BIB596;
BIB596_7;BIB596;
BIB596_8;BIB596;
BIB596_9;BIB596;
BIB596_10;BIB596;
BIB596_11;BIB596;
BIB596_12;BIB596;
BIB596_13;BIB596;
BIB596_14;BIB596;
BIB596_15;BIB596;
BIB596_16;BIB596;
BIB596_17;BIB596;
BIB596_18;BIB596;
BIB596_19;BIB596;
BIB596_20;BIB596;
BIB596_21;BIB596;
BIB596_22;BIB596;
BIB596_23;BIB596;
BIB596_24;BIB596;
BIB596_25;BIB596;
BIB596_26;BIB596;
BIB596_27;BIB596;
BIB596_28;BIB596;
BIB596_29;BIB596;
BIB596_30;BIB596;
BIB596_31;BIB596;
BIB596_32;BIB596;
BIB596_33;BIB596;
BIB596_34;BIB596;
BIB596_35;BIB596;
BIB596_36;BIB596;
BIB596_37;BIB596;
BIB596_38;BIB596;
BIB596_39;BIB596;
BIB596_40;BIB596;
BIB596_41;BIB596;
BIB596_42;BIB596;
BIB596_43;BIB596;
BIB596_44;BIB596;
BIB596_45;BIB596;
BIB596_46;BIB596;
BIB596_47;BIB596;
BIB596_48;BIB596;
BIB596_49;BIB596;
BIB596_50;BIB596;
BIB596_51;BIB596;
BIB596_52;BIB596;
BIB596_53;BIB596;
BIB596_54;BIB596;
