witness_ID;text_ID
Cambridge, CUL, Ff.vi.17;Romance of Horn
Cambridge, CUL, Add. 4407;Romance of Horn
Cambridge, CUL, Add. 4470;Romance of Horn
London, British Library, Harley 527;Romance of Horn
Oxford, Bodleian Library, Douce 132;Romance of Horn
Cologny-Geneva, Bibliotheca Bodmeriana, 82;Haveloc
London, College of Arms, Arundel XIV;Haveloc
London, Lambeth Palace, 1237;Boeve de Haumtone
Paris, Bibliothèque Nationale de France, nouv. acq. Franç. 4532;Boeve de Haumtone
Cambridge, Corpus Christi College, 50;Gui de Warewic
Cambridge, CUL, Add. 2751;Gui de Warewic
Cologny-Geneva, Bibliotheca Bodmeriana, 57;Gui de Warewic
Cologny-Geneva, Bibliotheca Bodmeriana, 168;Gui de Warewic
London, British Library, Add. 38662;Gui de Warewic
London, British Library, Harley 3775;Gui de Warewic
London, British Library, Royal 8 F.IX;Gui de Warewic
London, College of Arms, Arundel XXVII;Gui de Warewic
New Haven, Beinecke Library, 591;Gui de Warewic
Nottingham, Nottingham University Library, Oakham Parish Library, Bx 1756 S 4;Gui de Warewic
Oxford, Bodleian Library, Rawl. D.913;Gui de Warewic
Oxford, Corpus Christi College, 491;Gui de Warewic
Paris, Bibliothèque Nationale de France, franç. 1669;Gui de Warewic
Ripon, Ripon Cathedral Library, XVII.F.33;Gui de Warewic
Wolfenbuttel, Herzog August Bibl., Aug. fol. 87.4;Gui de Warewic
York, York Minster, 16.I.7;Gui de Warewic
Cologny-Geneva, Bibliotheca Bodmeriana, 168;Waldef
London, British Library, Royal 12 C.XII;Fouke le Fitz Waryn
Cambridge, Corpus Christi College, 50;Amis et Amiloun
Karlsruhe, Badische Landesbibl., 345;Amis et Amiloun
London, British Library, Royal 12 C.XII;Amis et Amiloun
Cambridge, CUL, Add. 2751 (3);Tristan, by Thomas
Carlisle, Cumbria Record Office, s.n. ;Tristan, by Thomas
Oxford, Bodleian Library, Douce d.6;Tristan, by Thomas
Oxford, Bodleian Library, Fr.d.16;Tristan, by Thomas
Turin, Accademia delle Scienze, MS Mazzo 812/viii/C;Tristan, by Thomas
Oxford, Bodleian Library, Douce d.6;Folie Tristan d'Oxford
Gottingen, Univ. Bibliothek. Philol. 184;Amadas et Ydoine
Vatican City, Bibl. Apost. Vatic., Palat. Lat. 1971;Amadas et Ydoine
London, British Library, Egerton 2515;Protheselaus
Oxford, Bodleian Library, Rawl. D.913;Protheselaus
Paris, Bibliothèque Nationale de France, franç. 2169;Protheselaus
Vatican City, Bibl. Apost. Vatic., Palat. Lat. 1971;A-N Floire et Blancheflor
Cambridge, Trinity College, O.9.34;Le roman de toute chevalerie
Durham, Durham Cathedral Library, C. IV.27B;Le roman de toute chevalerie
London, British Library, Add. 46701;Le roman de toute chevalerie
Oxford, Bodleian Library, Lat. Misc. b.17;Le roman de toute chevalerie
Paris, Bibliothèque Nationale de France, franç. 24364;Le roman de toute chevalerie
Cambridge, Fitzwilliam Museum, CFM 20;Estorie le roy Alixaundre
Chantilly, Musee Conde, 472;Fergus
Paris, Bibliothèque Nationale de France, franç. 1553;Fergus
New Haven, Beinecke Library, 395;Partonopeus de Blois
Paris, Bibliothèque Nationale de France, franç. 19152;Partonopeus de Blois
Vatican City, Bibl. Apost. Vatic., Palat. Lat. 1971;Partonopeus de Blois
New York, Pierpont Morgan Libr., M 888;William the Marshall
Cologny-Geneva, Bibliotheca Bodmeriana, 168;Otinel
Paris, Bibliothèque Nationale de France, franç. 5094;Otinel
London, British Library, Arundel 220;Pseudo-Turpin Chronicle
London, British Library, Royal 16 E.VIII;Le pelerinage de Charlemagne
Brussels, Bibl. Roy., portefeuille II.181;Gormont et Isembart
Hannover, Niedersachsische Landesbibl., IV.578;La destructioun de Rome
London, British Library, Egerton 3028;La destructioun de Rome
Hannover, Niedersachsische Landesbibl., IV.578;Fierabras
London, British Library, Egerton 3028;Fierabras
