witness_ID;text_ID
"Leiden, UB, BPL 1049; Brussel, KB, IV 816";Aiol (1)
Breda, Arch. Begijnhof, z.s.;Aiol (2)
München, Bayerische Staatsbibliotheek, Cod. germ. 41;Alexanders geesten
Gent, UB, 2749,6;Alexanders geesten
Leiden, UB, Ltk. 1196;Alexanders geesten
Donaueschingen, Fürstl. Fürstenb. Hofbibl., 173;Alexanders geesten
Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis d;Alexanders geesten
Den Haag, KB, 129 A 10;Arturs doet
Antwerpen, Rijksarchief te Antwerpen, Sint-Catharinakapittel en Sint-Catherinakerk te Hoogstraten, 2;Arturs doet
Leiden, UB, Ltk. 211;Aubri de Borgengoen
Gent, UB, 1592;Barlaam en Josaphat
Göttingen, Niedersächs. Staats- und Univ.bibl, 4o Cod. ms.theol. 98, f.6;Barlaam en Josaphat
Brussel, KB, IV 398,7;Beerte metten breden voeten
Düsseldorf, UB, K3: F 86;Boeve van Hamtone
München, UB, 2o Cod. ms. 756;Boudewijn van Seborch
Amsterdam, UB, E q 73a;Boudewijn van Seborch
"Brussel, KB, 19.613; Gent, UB, 1643";Roman van Caesar
Prag, Nationalbibl., Teplá MS. Fragm. 44;Roman van Caesar
Den Haag, KB, Bruikleen Academie, XXIV;Roman van Cassamus
Leiden, UB, Ltk. 1195;Roman van Cassamus
Brussel, KB, 18.228;Roman van Cassamus
"Arras, Bibl. mun., z.s. [zoek]; Leiden, UB, Ltk. 1024";Borchgrave van Couchi
Fragmenten-De Pauw;Borchgrave van Couchi
Brussel, KB, 19.577;Borchgrave van Couchi
Leiden, UB, Ltk. 191;Ferguut
Bourbourg, Arch. mun., z.s. [zoek?];Fierabras
Straatsburg, Bibl. Nat. et Univ., 2937;Flandrijs
Leiden, UB, Vulc. 54 A;Flandrijs
Nürenberg, Bibl. Germ. Nationalmus., 18.423;Floovent
Kortrijk, Campus van de K.U. Leuven, Bibl., Fonds van St.-Maarten, 21;Florent ende Durant
"Leeuwarden, Prov.bibl., 1804; Leiden, UB, BPL 3253: 1; Düsseldorf, UB, K2:F 48";Florigout
Den Bosch, Stadsarchief, z.s.;Roman van Florimont
Leiden, UB, Ltk. 191, fol. 33-58;Floris ende Blancefloer
Leiden, UB, Ltk. 2040;Floris ende Blancefloer
Trier, Stadtbibliothek, Mappe X, mhd. Fragmente, 13;Floyris ende Blantseflur
Brussel, KB, IV 1107;Garijn van Montglavie
Berlijn, Staatsbibl. Preuss. Kulturbes., Germ.fol. 751,2;Geraert van Viane
"Wenen, Österr. Nat.bibl., 15.393; Gent, UB, 1647; Brussel, KB, IV 209,10; Leuven, Coll. J. Deschamps, z.s.";Godevaerts kinsthede - Roman van Antiochië
Steinfurt, Burgsteinfurt, Fürst zu Bentheimische Schlossbibliothek, B37;Historie van den Grale - Merlijns boec
Amsterdam, UB, I A 24j;Gwidekijn van Sassen
Middelburg, Stadsarchief, z.s. [verloren gegaan];Huge van Bordeeus
Leiden, UB, Ltk. 1352;Huge van Bordeeus
Nijmegen, Provinciebibl. Ned. Jezuïeten, 5000 PB 52 (fragm. Deschamps en fragm. Katwijk);Huge van Bordeeus
Brussel, KB, II 719,49;Huge van Bordeeus
Leiden, UB, BPL 2552,37;Roman van Iechemias
Leiden, UB, Ltk. 2159;Jourdain de Blaye
Arras, Bibl. mun., 227/383;Karel ende Elegast
Den Haag, KB, 131 D 5;Karel ende Elegast
Namen, Bibl. Société archéol. de Namur, 196 B 19;Karel ende Elegast
München, Bayerische Staatsbibliotheek, Cod. germ. 5249, Nr.69;Karel ende Elegast
Brussel, Stadsarchief, Oud Arch., Ms.1645;Karel ende Elegast
Gent, UB, 896a;Karel ende Elegast
Vercelli, Archivio di Stato, Prefettura, Giudiziario, Fondo Antico, mazzo 41 (fasc. 2);Karel ende Elegast
Brussel, KB, 18.430;Laidoen
Den Haag, KB, 129 A 10;Lanceloet en het hert met de witte voet
Den Haag, KB, 129 A 10;Roman van Lancelot
Brussel, KB, II 115,3;Roman van Lancelot
Den Haag, KB, 75 H 58;Roman van Lancelot
"Leiden, UB, Ltk. 1752; Münster, Studien- und Zentralbibl. der Franziskaner, z.s.; Mengeringhausen, Stadtarch. [?: zoek]; Marburg, Hessisches Staatsarch., Best. 147 Hr. 1,1";Lantsloot van der Haghedochte
Leiden, UB, Ltk. 195;Roman van Limborch
Leiden, UB, Ltk. 196;Roman van Limborch
Parijs, BN, all. 116, f.22;Roman van Limborch
"Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis b; Brussel, KB, IV 583,1; Xanten, Stifts- und Pfarrarch., 41";Roman van Limborch
Leiden, UB, BPL 3086;Roman van Limborch
Brussel, KB, II 5949,2;Roman van Limborch
Antwerpen, Mus. Plantin-Moretus, M 15.10;Roman van Limborch
[zoek];Roman van Limborch
Brussel, KB, IV 209,6;Roman van Limborch
Michelstadt, Nicolaus-Matz-Bibliothek, E 1057;Roman van Limborch
Amsterdam, UB, I A 24k;Lion van Bourges
