witness_ID;text_ID
London, British Library, Cotton MS Vitellius A XV;Beowulf
Copenhagen, Danish Royal Library, NKS 167 b, 4°;Waldere
London, British Library, Cotton MS Caligula A IX;Layamon's Brut
London, British Library, Cotton MS Otho C XIII;Layamon's Brut
Oxford, Bodleian Library, MS Bodley 264;Alexander and Dindimus (Alexander Fragment B)
Cambridge University Library, MS Ff.1.6;Alexander-Cassamus
Lincoln Cathedral Library, MS 91;Alliterative Morte Arthure
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Amis and Amiloun
London, British Library, MS Egerton 2862;Amis and Amiloun
Princeton University Library, MS Garrett 141;Amoryus and Cleopes
Oxford, Bodleian Library, MS Douce 216;Apollonius of Tyre
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Arthour and Merline
London, Lincoln's Inn Library, MS 150;Arthour and Merline
Longleat House, MS 55;Arthur
Cambridge, Gonville and Caius College, MS 175;Athelston
Princeton University Library, MS Taylor 9;Avowing of King Arthur
Oxford, Bodleian Library, MS Douce 324;Awntyrs off Arthure
Princeton University Library, MS Taylor 9;Awntyrs off Arthure
Lincoln Cathedral Library, MS 91;Awntyrs off Arthure
London, Lambeth Palace Library, MS 491;Awntyrs off Arthure
Oxford, Bodleian Library, MS Eng. Poet. D. 208;Bevis of Hampton
Cambridge, Gonville and Caius College, MS 175/96;Bevis of Hampton
Naples, Biblioteca Nazionale, MS XIII.B.29;Bevis of Hampton
Cambridge, Trinity College Library, MS O.2.13;Bevis of Hampton
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Bevis of Hampton
London, British Library, MS Egerton 2862;Bevis of Hampton
Oxford, Bodleian Library, MS Douce Fragm. E.13;Bevis of Hampton
Manchester, Chetham's Library, MS 8009;Bevis of Hampton
London, British Library, MS Cotton Caligula A.ii;Cheuelere Assigne
London, British Library, MS Additional 31042;Duke Roland and Sir Otuel of Spain
London, British Library, MS Cotton Caligula A.ii;Emaré
Lincoln Cathedral Library, MS 91;Erle of Tolous
Cambridge University Library, MS Ff.2.38;Erle of Tolous
Oxford, Bodleian Library, MS Ashmole 33;Firumbras (Ashmole)
London, British Library, MS Additional 37492;Firumbras (Fillingham)
Cambridge University Library, MS Gg.4.27;Floris and Blancheflour
London, British Library, MS Cotton Vitellius D.iii;Floris and Blancheflour
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Floris and Blancheflour
London, British Library, MS Egerton 2862;Floris and Blancheflour
Tokyo, Takamiya, MS 32;Gamelyn
Sussex, Petworth House, MS 7;Gamelyn
Philadelphia, Rosenbach Foundation, MS 1084/1;Gamelyn
Oxford, Trinity College, MS 49;Gamelyn
Oxford, Corpus Christi College, MS 198;Gamelyn
Oxford, Christ Church, MS 152;Gamelyn
Oxford, Bodleian Library, MS Rawlinson poet. 149;Gamelyn
Oxford, Bodleian Library, MS Laud Misc. 600;Gamelyn
Oxford, Bodleian Library, MS Barlow 20;Gamelyn
Oxford, Bodleian Library, MS Hatton Donat. I;Gamelyn
New York, Pierpont Morgan Library, MS M 249;Gamelyn
London, British Library, MS Sloane 1685;Gamelyn
London, British Library, MS Royal 18.C.II;Gamelyn
London, British Library, MS Royal 17.D.XV;Gamelyn
London, British Library, MS Lansdowne 851;Gamelyn
London, British Library, MS Harley 7334;Gamelyn
London, British Library, MS Harley 1758;Gamelyn
London, British Library, MS Egerton 2863;Gamelyn
Lichfield Cathedral, MS 29;Gamelyn
Cambridge University Library, MS Ii.3.26;Gamelyn
Cambridge University Library, MS Mm.2.5;Gamelyn
Cambridge, Fitzwilliam Museum, MS McClean 181;Gamelyn
New York, Pierpont Morgan Library, MS M 876;Generides (couplet)
Cambridge, Trinity College Library, MS O.5.2;Generides (stanzaic)
Cambridge, Gonville and Caius College, MS 107/176;Guy of Warwick (couplet)
Aberystwyth, National Library of Wales, MS 572;Guy of Warwick (couplet)
Cambridge University Library, MS Ff.2.38;Guy of Warwick (later couplet)
London, British Library, MS Sloane 1044;Guy of Warwick (couplet)
London, British Library, MS Additional 14408;Guy of Warwick (couplet)
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Guy of Warwick (couplet)
Oxford, Bodleian Library, MS Laud Misc. 108;Havelok the Dane
Cambridge University Library, MS Add. 4407;Havelok the Dane
Cambridge, Corpus Christi College, MS 80;History of the Holy Grail
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Horn Childe & Maiden Rimnild
Manchester, Chetham's Library, MS 8009;Ipomadon
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;King Alisaunder
Oxford, Bodleian Library, MS Laud Misc. 622;King Alisaunder
London, Lincoln's Inn Library, MS 150;King Alisaunder
Cambridge University Library, MS Gg.4.27;King Horn
London, British Library, MS Harley 2253;King Horn
Oxford, Bodleian Library, MS Laud Misc. 108;King Horn
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;King of Tars
London, British Library, MS Additional 22283;King of Tars
Oxford, Bodleian Library, MS Eng. Poet. A.1.;King of Tars
Oxford, Bodleian Library, MS Laud Misc. 595;Laud Troy Book
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Lay le Freine
Cambridge University Library, MS Ff.2.38;Le Bone Florence of Rome
Naples, Biblioteca Nazionale, MS XIII.B.29;Libeaus Desconus
London, Lincoln's Inn Library, MS 150;Libeaus Desconus
London, Lambeth Palace Library, MS 306;Libeaus Desconus
London, British Library, MS Cotton Caligula A.ii;Libeaus Desconus
Cambridge, Corpus Christi College, MS 80;Merlin
London, British Library, MS Cotton Caligula A.ii;Octavian
Cambridge University Library, MS Ff.2.38;Octavian
Lincoln Cathedral Library, MS 91;Octavian
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Otuel a Knight
London, British Library, MS Additional 37492;Otuel and Roland
Oxford, Bodleian Library, MS Rawlinson Poet. 14;Partonope of Blois
Tokyo, Takamiya, MS 32;Partonope of Blois
Oxford, University College, MS 188;Partonope of Blois
Oxford, Bodleian Library, MS Lat. Misc. B.17;Partonope of Blois
London, British Library, MS Additional 35288;Partonope of Blois
London, British Library, MS Harley 4690;Richard Coeur de Lion
Cambridge, Gonville and Caius College, MS 175;Richard Coeur de Lion
Badminton, Duke of Beaufort MS 704.1.16;Richard Coeur de Lion
London, British Library, MS Egerton 2862;Richard Coeur de Lion
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Richard Coeur de Lion
London, British Library, MS Additional 31042;Richard Coeur de Lion
London, College of Arms, Arundel 58;Richard Coeur de Lion
Oxford, Bodleian Library, MS Eng. Poet. A.1.;Robert of Cisyle
Oxford, Trinity College, MS D. 57;Robert of Cisyle
London, British Library, MS Additional 34801;Robert of Cisyle
London, British Library, MS Harley 525;Robert of Cisyle
London, British Library, MS Additional 22283;Robert of Cisyle
Dublin, Trinity College, MS 432;Robert of Cisyle
Cambridge University Library, MS Ii.4.9;Robert of Cisyle
Cambridge University Library, MS Ff.2.38;Robert of Cisyle
London, British Library, MS Harley 1701;Robert of Cisyle
Edinburgh, National Library of Scotland, MS Advocates 19.2.1;Roland and Vernagu
London, British Library, MS Harley 525;Seege or Batayle of Troye
London, British Library, MS Egerton 2862;Seege or Batayle of Troye
London, Lincoln's Inn Library, MS 150;Seege or Batayle of Troye
London, College of Arms, Arundel 22;Seege or Batayle of Troye
San Marino, Huntington Library, MS HM 128;Siege of Jerusalem
Princeton University Library, MS Taylor Medieval 11;Siege of Jerusalem
Oxford, Bodleian Library, MS Laud Misc. 656;Siege of Jerusalem
London, Lambeth Palace Library, MS 491;Siege of Jerusalem
London, British Library, MS Cotton Vespasian E.xvi;Siege of Jerusalem
London, British Library, MS Cotton Caligula A.ii;Siege of Jerusalem
London, British Library, MS Additional 31042;Siege of Jerusalem
Exeter, Devon Record Office, MS 2507;Siege of Jerusalem
Cambridge University Library, MS Mm.5.14;Siege of Jerusalem
London, British Library, MS Additional 31042;Siege of Milan
Princeton University Library, MS Taylor 9;Sir Amadace
Edinburgh, National Library of Scotland, MS Advocates 19.1.11;Sir Cleges
Cambridge University Library, MS Ff.2.38;Sir Degare
