witness_ID;text_ID
LONDON, British Library, Harley 01321;Aimeri de Narbonne
LONDON, British Library, Royal 20.B.XIX.;Aimeri de Narbonne
LONDON, British Library, Royal 20.D.XI.;Aimeri de Narbonne
OXFORD, Bodleian Library, Broxbourne 34.5 (1);Aimeri de Narbonne
PARIS, Bibliothèque nationale de France, fr. 01448;Aimeri de Narbonne
"PARIS, Bibliothèque nationale de France, fr. 24369 ; PARIS, Bibliothèque nationale de France, fr. 24370";Aimeri de Narbonne
PARIS, Bibliothèque nationale de France, fr. 25516;Aiol
PARIS, Bibliothèque nationale de France, fr. 02233;Aiquin
BERN, Burgerbibliothek, Cod. 296;Aliscans
BOULOGNE-SUR-MER, Bibliothèque municipale, 0192;Aliscans
"CAMBRIDGE, University Library, Addit. 2751/4 ; SANKT-PETERBURG, National Library of Russia, fr. 8° v. XIV. 0006";Aliscans
CLERMONT-FERRAND, Bibliothèque municipale et universitaire, 0249;Aliscans
LINCOLN, Lincolnshire Archives Office, Maddison Deposit 2/6;Aliscans
LISBOA, Biblioteca nacional, 0258.42;Aliscans
LONDON, British Library, Royal 20.D.XI.;Aliscans
MILANO, Archivio storico e biblioteca Trivulziana, 1025;Aliscans
OXFORD, Bodleian Library, French e. 32 (Phillipps 25074);Aliscans
PARIS, Bibliothèque de l'Arsenal, 6562;Aliscans
PARIS, Bibliothèque nationale de France, fr. 00368;Aliscans
PARIS, Bibliothèque nationale de France, fr. 00774;Aliscans
PARIS, Bibliothèque nationale de France, fr. 01448;Aliscans
PARIS, Bibliothèque nationale de France, fr. 01449;Aliscans
PARIS, Bibliothèque nationale de France, fr. 02494;Aliscans
"PARIS, Bibliothèque nationale de France, fr. 24369 ; PARIS, Bibliothèque nationale de France, fr. 24370";Aliscans
PARIS, Bibliothèque nationale de France, nouv. acq. fr. 00934;Aliscans
VENEZIA, Biblioteca nazionale Marciana, fr. 08(=VIII);Aliscans
PARIS, Bibliothèque nationale de France, fr. 00860;Ami et Amile (Version continentale en décasyllabes)
LILLE, Bibliothèque municipale, 130 (190);Ami et Amile (Version de Lille)
ARRAS, Bibliothèque municipale, 0696 (0704);Ami et Amile (Version en alexandrins)
BASEL, Öffentliche Bibliothek der Universität, F. IV. 44;Ami et Amile (Version en alexandrins)
CHANTILLY, Bibliothèque du Château (Musée Condé), 0471 (0618);Ami et Amile (Version en alexandrins)
PARIS, Bibliothèque nationale de France, fr. 12547;Ami et Amile (Version en alexandrins)
VATICANO (CITTA DEL), Biblioteca apostolica Vaticana, Ottob. lat. 0909;Ami et Amile (Version en alexandrins)
PARIS, Bibliothèque nationale de France, fr. 25438;Ami et Amile (Version en prose du XIIIe s.)
DURHAM, University Library, Cosin V.II.17;Anseïs de Carthage
LYON, Bibliothèque de l'Académie, Palais des Arts 059;Anseïs de Carthage
PARIS, Bibliothèque nationale de France, fr. 00368;Anseïs de Carthage
PARIS, Bibliothèque nationale de France, fr. 00793;Anseïs de Carthage
PARIS, Bibliothèque nationale de France, fr. 12548;Anseïs de Carthage
PARIS, Bibliothèque nationale de France, nouv. acq. fr. 05094;Anseïs de Carthage
"SEES, Bibliothèque de l'Evêché, 17 (T. q. 10) (gardes) ; SEES, Bibliothèque de l'Evêché, 14 (T. o. 3) (gardes) ; SEES, Bibliothèque de l'Evêché, 19 (T. q. 12) (gardes) ; SEES, Bibliothèque de l'Evêché, 22 (T. f. 27) (gardes)";Anseïs de Carthage
