witness_ID;text_ID
Kopenhagen, Königl. Bibl., NKS Cod. 4843,4°;Abor und das Meerweib
Nürnberg, Germanisches Nationalmuseum, Bibliothek, Hs. 80 (olim Hs. 216a + 2963 + 80 + 6389 + 7 + 6863);Albrecht von Kemenaten: Goldemar
"Berlin, Staatsbibl., mgf 856; Darmstadt, Universitäts- und Landesbibl., Hs. 4257; Darmstadt, Universitäts- und Landesbibl., Hs. 4314";Alpharts Tod
Berlin, Staatsbibl., mgq 1145;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Klagenfurt, Landesarchiv, Arnoldstein, Kloster und Herrschaft, Hs 355;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Leipzig, Universitätsbibl., Ms. 1711a;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Leutkirch, Fürstl. Waldburg zu Zeil und Trauchburgsches Gesamtarchiv (auf Schloß Zeil), ZAMs 21;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Lüneburg, Ratsbücherei, Ms. Hist. C 2° 37;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Prag, Nationalbibl., Cod. I.B.6;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Wien, Österr. Nationalbibl., Cod. 2802;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Mailand, Bibl. Nazionale Braidense, AE.XIII.13;Bairisch-österreichisches Buch von Troja (früher: Buch von Troja II)
Basel, Universitätsbibl., Cod. E VI 26;Basler Trojanerkrieg
"Göttingen, Staats- und Universitätsbibl., 8° Cod. Ms. philol. 190; Mainz, Gutenberg-Museum, StB-Ink. 1331, Leimabklatsch im vorderen und hinteren Spiegel";Berthold von Holle: Crane
Privatbesitz Ernst Friedrich Mooyer, Minden;Berthold von Holle: Crane
Wolfenbüttel, Herzog August Bibl., Cod. 404.9 (2) Novi;Berthold von Holle: Crane
Pommersfelden, Gräfl. Schönbornsche Schloßbibl., Cod. 5 (2949);Berthold von Holle: Crane
Kopenhagen, Königl. Bibl., NKS Cod. 173,4°;Berthold von Holle: Darifant
"Heidelberg, Universitätsbibl., Heid. Hs. 214; Rostock, Universitätsbibl., Fragm. philol. 1";Berthold von Holle: Demantin
Dessau, Landesbücherei, Hs. Georg. 225.8°;Berthold von Holle: Demantin
