witness_ID;text_ID
 Arnamagnæan Collection, Reykjavík : AM 567 4to, I;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, VI, alpha;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, VI, beta;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 570a 4to;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 579 4to;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 593a 4to;Adónías saga (riddarasögur)
Royal Library, Copenhagen : NKS 1265 fol., II, c;Adónías saga (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Adónías saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 571 4to;Ála flekks saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589e 4to;Ála flekks saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 225 fol.;Alexanders saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 226 fol.;Alexanders saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 519a 4to;Alexanders saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 655 4to XXIX;Alexanders saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, II;Bevis saga (Bevers saga) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, VII;Bevis saga (Bevers saga) (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Bevis saga (Bevers saga) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 544 4to;Breta saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 573 4to;Breta saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 180b fol.;Bærings saga (fagra) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to II;Bærings saga (fagra) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 574 4to;Bærings saga (fagra) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 580 4to;Bærings saga (fagra) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 557 4to;Dámusta saga ok Jons  (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 575a 4to;Dínus saga drambláta (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 335 4to;Drauma-Jóns saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 510 4to;Drauma-Jóns saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to III;Drauma-Jóns saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 657 a-b 4to;Drauma-Jóns saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 533 4to;Elís saga ok Rósamundu (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, II;Elís saga ok Rósamundu (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, X;Elís saga ok Rósamundu (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 574 4to;Elís saga ok Rósamundu (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 579 4to;Elís saga ok Rósamundu (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 580 4to;Elís saga ok Rósamundu (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Elís saga ok Rósamundu (riddarasögur)
University Library, Uppsala : DG 4-7 fol.;Elís saga ok Rósamundu (riddarasögur)
National Library, Reykjavík : Lbs 1230 8vo, III;Erex saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 489 4to;Flóres saga ok Blankiflur (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 575a 4to;Flóres saga ok Blankiflur (riddarasögur)
National Archives, Oslo : NRA 65;Flóres saga ok Blankiflur (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 343a 4to;Flóres saga konungs (/svarta) og sona hans (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 577 4to;Flóres saga konungs (/svarta) og sona hans (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 586 4to;Flóres saga konungs (/svarta) og sona hans (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 152 fol.;Flóvents saga (Frakkakonungs) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 570a 4to;Flóvents saga (Frakkakonungs) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 580 4to;Flóvents saga (Frakkakonungs) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 335 4to;Gibbons saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 529 4to;Gibbons saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XVI;Gibbons saga (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Gibbons saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XXVI;Grega saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 152 fol.;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XIII;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 579 4to;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 584 4to;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589d 4to;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Hectors (/Ectors) saga (ok kappa hans) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 510 4to;Hermanns saga ok Jarlmanns (/Jarlmanns saga ok Hermanns) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 529 4to;Hermanns saga ok Jarlmanns (/Jarlmanns saga ok Hermanns) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 556b 4to;Hermanns saga ok Jarlmanns (/Jarlmanns saga ok Hermanns) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 489 4to;Hrings saga ok Tryggva (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 586 4to;Hrings saga ok Tryggva (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 489 4to;Ívens saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 180a fol.;Karlamagnús saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 180c fol.;Karlamagnús saga (riddarasögur)
National Library, Reykjavík : Lbs 2454 8vo;Karlamagnús saga (riddarasögur)
National Archives, Reykjavík : Þjms MS. 280;Karlamagnús saga (riddarasögur)
National Archives, Oslo : NRA 61;Karlamagnús saga (riddarasögur)
National Archives, Oslo : NRA 62;Karlamagnús saga (riddarasögur)
National Archives, Oslo : NRA 63;Karlamagnús saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 489 4to;Kirjalax saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, XV;Kirjalax saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589a 4to;Kirjalax saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to IX;Klári saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589c 4to;Klári saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589d 4to;Klári saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 657a-b 4to;Klári saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 180b fol.;Konráðs saga keisarasonar (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 529 4to;Konráðs saga keisarasonar (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XVI;Konráðs saga keisarasonar (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Konráðs saga keisarasonar (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 152 fol.;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 533 4to;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 534 4to;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 556b 4to;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, XVII alpha;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XVII beta;Mágus saga jarls (/Bragða-Magus saga) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 593a 4to;Mírmanns saga (riddarasögur)
National Library, Reykjavík : Lbs 1230 8vo, III;Mírmanns saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 598 4to, I alpha;Möttuls saga (Skikkju saga) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 598 4to I beta;Möttuls saga (Skikkju saga) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 529 4to;Nitida saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to, XVIII;Nitida saga (riddarasögur)
Héraðsskjalasafn Skagfirðinga, Sauðarkrókur : HSk 63 8vo;Nitida saga (riddarasögur)
Royal Library, Copenhagen : NKS 1794b 4to;Parcevals saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 533 4to;Partalopa saga (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Partalopa saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, II;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, XIX alpha;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, XIX beta;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to, XIX gamma;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 570b 4to;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 574 4to;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 579 4to;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Rémundar saga keisarasonar (ok Elínar kongsdóttur) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 162c fol.;Sálus (/Saulus) saga ok Nikanórs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 343a 4to;Sálus (/Saulus) saga ok Nikanórs (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 570a 4to;Sálus (/Saulus) saga ok Nikanórs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 343a 4to;Samsons saga fagra (ok Kvintalíns kvennaþjófs) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589b 4to;Samsons saga fagra (ok Kvintalíns kvennaþjófs) (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 556a 4to;Sigrgarðs saga frœkna (Rikarðssonar ok Ingigerðar) (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Sigurðar saga fots (ok Ásmundar Húnakongs) (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Sigurðar saga turnara (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 152 fol.;Sigurðar saga þögla (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to XX alpha;Sigurðar saga þögla (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to XX beta;Sigurðar saga þögla (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 596 4to;Sigurðar saga þögla (riddarasögur)
Arnamagnæan Collection, Copenhagen  : AM 666b 4to;Strengleikar (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 489 I-II 4to;Tristrams saga ok Ísoddar (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 567 4to XXII;Tristrams saga ok Ísöndar  (riddarasögur)
"Library of Congress, Washington, D.C. : ""Reeves' Fragment""";Tristrams saga ok Ísöndar  (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 544 4to;Trójumanna saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 573 4to;Trójumanna saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 598 4to II alpha;Trójumanna saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 598 II beta;Trójumanna saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 557 4to;Valdimars saga (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 589c 4to;Valdimars saga (riddarasögur)
 Arnamagnæan Collection, Copenhagen : AM 573 4to;Valvens þáttr (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 471 4to;Viktors saga ok Blavus (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to I;Viktors saga ok Blavus (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to VIII;Viktors saga ok Blavus (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 593b 4to;Viktors saga ok Blavus (riddarasögur)
Royal Library, Stockholm : Perg. fol. nr 7;Viktors saga ok Blavus (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 343a 4to;Vilhjálms saga sjóðs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 548 4to;Vilhjálms saga sjóðs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to XXIII alpha;Vilhjálms saga sjóðs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 567 4to XXIII beta;Vilhjálms saga sjóðs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 577 4to;Vilhjálms saga sjóðs (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 343a 4to;Vilmundar saga viðutan (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 577 4to;Vilmundar saga viðutan (riddarasögur)
 Arnamagnæan Collection, Reykjavík : AM 586 4to;Vilmundar saga viðutan (riddarasögur)
National Library, Reykjavík : ÍB 201 4to;Vilmundar saga viðutan (riddarasögur)
Royal Library, Stockholm : Perg 4to 22;Bærings rímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Bærings rímur (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Blávus rímur ok Viktors (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 603 4to;Blávus rímur ok Viktors (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Dámusta rímur ok Jons (riddararímur)
Arnamagnæan Collection, Reykjavík : AM 604 a-h 4to;Dínus rímur drambláta (riddararímur)
