witness_ID;text_ID
Bodleian Laud Misc 610;Acallam na senórach
Bodleian Rawlinson B 487;Acallam na senórach
UCC Book of Lismore;Acallam na senórach
UCD OFM A4;Acallam na senórach
UCC Book of Lismore;Acallam na senórach
TCL MS 1319;Aided Ailella
NLS MS 72.1.40;Aided Ailella
TCD MS 1339 (Book of Leinster);Aided Bresail meic Diarmata
UCC Book of Lismore;Aided Bresail meic Diarmata
RIA MS 23 P 3;Aided Bresail meic Diarmata
NLS MS 72.1.40;Aided Cheit meic Mágach
TCD MS 1339 (Book of Leinster);Aided Cheltchair maic Uitheachair
NLS MS 72.1.40;Aided Cheltchair maic Uitheachair
TCD MS 1339 (Book of Leinster);Aided Chon Culainn (A)
TCL MS 1337;Aided Chon Culainn (A)
NLS MS 72.1.45;Aided Chon Culainn (B)
TCD MS 1339 (Book of Leinster) and 8 others;Aided Chon Roí
TCL MS 1339 (Book of Leinster) and 7 others;Aided Chonchobair
RIA MS 23 P 12 (Book of Ballymote);Aided Chrimthainn meic Fidaig
TCL MS 1318 (Yellow Book of Lecan);Aided Chrimthainn meic Fidaig
TCD MS 1339 (Book of Leinster);Aided Chuanach meic Ailchíni
TCL MS 1316;Aided Chuanach meic Ailchíni
RIA MS 23 E 29 (Book of Fermoy);Aided Chuanach meic Ailchíni
RIA MS 23 P 2 (Book of Lecan);Aided Chuind Chétchathaig
TCL MS 1298;Aided Chuind Chétchathaig
TCD MS 1339 (Book of Leinster);Aided Derbfhorgaill
RIA MS D iv 2;Aided Derbfhorgaill
TCL MS 1337;Aided Derbfhorgaill
TCL MS 1318 (Yellow Book of Lecan);Aided Diarmata meic Fergusa Cerrbéoil
BL Egerton 1782;Aided Diarmata meic Fergusa Cerrbéoil
BL Egerton 92;Aided Diarmata meic Fergusa Cerrbéoil
UCC Book of Lismore;Aided Diarmata meic Fergusa Cerrbéoil
RIA MS 23 E 25 (Lebor na hUidre);Aided Echach meic Maireda
NLI MS G 7;Aided Echach meic Maireda
BL Egerton 1782;Aided Fergusa Meic Leite
TCL MS 1318 (Yellow Book of Lecan);Aided Fergus meic Róich
NLS MS 72.1.40;Aided Fergus meic Róich
Bodleian Laud Misc 610;Aided Fhinn
BL Egerton 92;Aided Fhinn
TCD MS 1339 (Book of Leinster);Aided Guill meic Carbada
NLS MS 72.1.40;Aided Guill meic Carbada
NLS MS 72.1.40;Aided Lóegaire Búadaig
Bodleian Rawlinson B. 502;Aided Maelodráin
Bodleian Rawlinson B. 512;Aided Maelodráin
RIA Dii1 (Book of Uí Maine);Aided Maelodráin
TCL MS 1318 (Yellow Book of Lecan);Aided Meic Con
TCD MS 1339 (Book of Leinster);Aided Meidbe
NLS MS 72.1.40;Aided Meidbe
TCL MS 1318 (Yellow Book of Lecan);Aided Muirchertaig meic Erca
TCL MS 1298;Aided Muirchertaig meic Erca
RIA MS 23 E 25 (Lebor na hUidre);Aided Nath Í
RIA MS 23 P 12 (Book of Ballymote);Aided Nath Í
TCL MS 1318 (Yellow Book of Lecan);Aided Nath Í
RIA MS 23 P 2 (Book of Lecan);Aided Nath Í
TCL MS 1318 (Yellow Book of Lecan);Aided Óenfhir Aífe
TCL MS 1336;Aided Óenfhir Aífe
TCD MS 1339 (Book of Leinster);Aígidecht Athirni
RIA MS 23 N 10;Aígidecht Athirni
BL Harley 5280;Aígidecht Athirni
Bodleian Rawlinson B. 512;Airec menman Uraird meic Coisse
RIA MS 23 N 10;Airec menman Uraird meic Coisse
BL Harley 5280;Airec menman Uraird meic Coisse
UCC Book of Lismore;Áirem muintire Finn
BL Egerton 1782;Áirem muintire Finn
BL Harley 5280;Áirem muintire Finn
RIA MS D iv 2;Airne Fíngein
RIA MS 23 E 29 (Book of Fermoy);Airne Fíngein
RIA MS 23 O 48 (Liber Flavus Fergusiorum);Airne Fíngein
UCC Book of Lismore;Airne Fíngein
RIA MS 23 P 16 9Leabhar Breac);Aislinge Meic Con Glinne
TCL MS 1337;Aislinge Meic Con Glinne
BL Egerton 1782;Aislinge Óenguso
RIA MS D iv 2;Aithed Emire
RIA MS 23 E 29 (Book of Fermoy);Altram Tige Dá Medar
TCL MS 1339 (Book of Leinster);Aithirne & Midir
BL Harley 5280;Aithirne & Midir
TCL MS 1339 (Book of Leinster);Athirne & Amairgen
Bodleian Rawlinson B. 512;Baile Binnbérlach mac Búain
RIA MS 23 N 10;Baile Binnbérlach mac Búain
TCL MS 1337;Baile Binnbérlach mac Búain
BL Harley 5280;Baile Binnbérlach mac Búain
BL Harley 5280;Baile Briccíne
BL Egerton 1782;Baile Briccíne
TCL MS 1339 (Book of Leinster);Bórama
RIA MS 23 P 2 (Book of Lecan);Bórama
TCL MS 1318 (Yellow Book of Lecan);Bruiden Átha Í
RIA MS D iv 2;Bruiden Átha Í
TCL MS 1337;Bruiden Da Choca
BL Additional 30512;Bruiden Da Choca
RIA MS 23 P 12 (Book of Ballymote);Bruiden Meic Da Reo
RIA MS 23 P 3;Cáin Éimíne Báin
BL Additional 30512;Cáin Éimíne Báin
RIA MS 23 P 16 (Leabhar Breac);Caithréim Cellaig
NLI G 4 ;Caithréim Cellaig
RIA MS 23 O 48 (Liber Flavus Fergusiorum);Caithréim Cellaig
RIA MS 23 P 2 (Book of Lecan);Cath Airitg
TCL MS 1337;Cath Airitg
